kd	vaggacode	bmc_chapter	vagga	vincode	pts_ref	bod_pages	pali_name	english_name	main_theme	subtopic	summary	rules_prohibitions	allowances	sc_brahmali	sc_horner
KD1	MV1		Mahavagga	VIN-MV1.1	Vin.1.1–7	BD.4.1–3	Mahākhandhaka	The Great Chapter	Enlightenment	Enlightenment	The narrative of the Buddha's enlightenment and the decision to teach.			suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.2	Vin.1.3	BD.4.4	Mahākhandhaka	The Great Chapter	Enlightenment	First disciples	The story of Yasa the noble youth going forth.			suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.3		BD.4.5	Mahākhandhaka	The Great Chapter	Enlightenment	First disciples	Yasa's father becomes the first lay follower using the three refuges.			suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.4	Vin.1.4	BD.4.6	Mahākhandhaka	The Great Chapter	Enlightenment	First disciples	Yasa's four merchant friends join the Order.			suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.5	Vin.1.5–6	BD.4.7–10	Mahākhandhaka	The Great Chapter	Enlightenment	First disciples	Fifty more friends of Yasa ordain; the first Arahants.			suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.12	Vin.1.20–22	BD.4.28–31	Mahākhandhaka	The Great Chapter	Ordination	Ordination	Decentralizing ordination; allowing monks to ordain others in remote regions.		I allow you, monks, to go forth, to ordain in these different regions.	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.13	Vin.1.23	BD.4.32	Mahākhandhaka	The Great Chapter	Ordination	Double Ordination	Clarification on the procedure for the double ordination.			suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.16		BD.4.37	Mahākhandhaka	The Great Chapter	Ordination	Leper	(Narrative context regarding disease or exclusion).			suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.18		BD.4.38	Mahākhandhaka	The Great Chapter	Ordination	Solitary	(Narrative context regarding solitary practice).			suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.25	Vin.1.32–46	BD.4.53–58	Mahākhandhaka	The Great Chapter	Preceptor	Preceptor	Establishing the Upajjhaya (preceptor) relationship for guidance.	Monks, one should not live without a preceptor.	I allow you, monks, a preceptor.	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.32	Vin.1.53–63	BD.4.77–82	Mahākhandhaka	The Great Chapter	Teachers	Teacher	Establishing the Acariya (teacher) relationship as an alternative or supplement.	Monks, one should not live without a teacher.	I allow you, monks, a teacher.	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.33		BD.4.83	Mahākhandhaka	The Great Chapter	Teachers	Refusal	Authority for a teacher to dismiss a bad student.		I allow you, monks, to turn away (a pupil).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.34		BD.4.83	Mahākhandhaka	The Great Chapter	Teachers	Dismissal	Duty of a dismissed student to seek forgiveness.	Monks, one who has been turned away should not not apologise.		suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.35		BD.4.84	Mahākhandhaka	The Great Chapter	Teachers	Ignorant	Prohibition on incompetent monks acting as preceptors.	Monks, one who is ignorant should not give guidance.		suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.53	Vin.1.79–81	BD.4.106–108	Mahākhandhaka	The Great Chapter	Teachers	Dependance	The "Nissaya" rule: mandatory dependence on a teacher for at least 5 years.		I allow, monks, an ignorant, inexperienced monk to live five years dependent...	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.68		BD.4.122	Mahākhandhaka	The Great Chapter	Footwear	Sandals	Basic etiquette for entering inhabited areas.	Monks, you should not go to a village with sandals on.		suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.1	Vin.1.1–7	BD.4.1–3	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.2	Vin.1.3	BD.4.4	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
KD1	MV1		Mahavagga	VIN-MV1.3		BD.4.5	Mahākhandhaka	The Great Chapter	Ordination	Ordination (Upasampada)	Rules and procedures regarding admission to the Community, the qualifications of preceptors and candidates, and the Nissaya (dependence).	A preceptor must have 10 years standing. A candidate must be 20 years old, free of disqualifying diseases or debts.	Allowed: Ordination by a group of 10 monks (5 in border regions); Double ordination (for those previously ordained in other sects, though this is complex).	suttacentral.net/brahmali/kd1	suttacentral.net/horner/kd1
